Year,Geography,Core public infrastructure assets,Type of municipality by population size,GeoCode,Value
2016,Canada,Potable water,All municipalities,null,29.45
2016,Canada,Potable water,All urban municipalities,null,32.43
2016,Canada,Potable water,"Urban municipalities, population 1 to 4,999",null,22.11
2016,Canada,Potable water,"Urban municipalities, population 5,000 to 29,999",null,36.05
2016,Canada,Potable water,"Urban municipalities, population 30,000 or more",null,41.67
2016,Canada,Potable water,All rural municipalities,null,27.61
2016,Canada,Potable water,"Rural municipalities, population 1 to 4,999",null,26.54
2016,Canada,Potable water,"Rural municipalities, population 5,000 or more",null,31.08
2016,Canada,Stormwater,All municipalities,null,51.11
2016,Canada,Stormwater,All urban municipalities,null,59.42
2016,Canada,Stormwater,"Urban municipalities, population 1 to 4,999",null,37.91
2016,Canada,Stormwater,"Urban municipalities, population 5,000 to 29,999",null,64.03
2016,Canada,Stormwater,"Urban municipalities, population 30,000 or more",null,77.18
2016,Canada,Stormwater,All rural municipalities,null,45.44
2016,Canada,Stormwater,"Rural municipalities, population 1 to 4,999",null,44.87
2016,Canada,Stormwater,"Rural municipalities, population 5,000 or more",null,46.98
2016,Canada,Wastewater,All municipalities,null,35.37
2016,Canada,Wastewater,All urban municipalities,null,39.44
2016,Canada,Wastewater,"Urban municipalities, population 1 to 4,999",null,28.21
2016,Canada,Wastewater,"Urban municipalities, population 5,000 to 29,999",null,42.15
2016,Canada,Wastewater,"Urban municipalities, population 30,000 or more",null,50.36
2016,Canada,Wastewater,All rural municipalities,null,33.02
2016,Canada,Wastewater,"Rural municipalities, population 1 to 4,999",null,32.6
2016,Canada,Wastewater,"Rural municipalities, population 5,000 or more",null,34.08
2016,Canada,Solid waste,All municipalities,null,15.27
2016,Canada,Solid waste,All urban municipalities,null,18.18
2016,Canada,Solid waste,"Urban municipalities, population 1 to 4,999",null,11.76
2016,Canada,Solid waste,"Urban municipalities, population 5,000 to 29,999",null,19.38
2016,Canada,Solid waste,"Urban municipalities, population 30,000 or more",null,23.23
2016,Canada,Solid waste,All rural municipalities,null,13.67
2016,Canada,Solid waste,"Rural municipalities, population 1 to 4,999",null,16.1
