Geography,Confidence in the police rating of 1 or 2,Confidence in the police rating of 3,Confidence in the police rating of 4 or 5,Confidence in the justice system and courts rating of 1 or 2,Confidence in the justice system and courts rating of 3,Confidence in the justice system and courts rating of 4 or 5,Confidence in the school system rating of 1 or 2,Confidence in the school system rating of 3,Confidence in the school system rating of 4 or 5,Confidence in the Federal Parliament rating of 1 or 2,Confidence in the Federal Parliament rating of 3,Confidence in the Federal Parliament rating of 4 or 5,Confidence in the Canadian media rating of 1 or 2,Confidence in the Canadian media rating of 3,Confidence in the Canadian media rating of 4 or 5
Atlantic Region,12.8,22.8,64.5,24.1,33.1,42.7,23.3,34.2,42.5,44.5,33,22.5,26.7,36,37.3
Newfoundland and Labrador,13.6,23.1,63.3,29.1,30.7,40.2,19.6,33.5,46.8,43.9,31.3,24.8,24.9,37.7,37.4
Prince Edward Island,11.2,17.3,71.6,20.4,29.4,50.2,20.5,33.1,46.4,43.9,31.2,24.9,27.8,35,37.2
Nova Scotia,13.9,24,62.1,24.7,35.4,39.9,24.4,37,38.6,46.8,33.7,19.5,29.3,34.8,35.9
New Brunswick,11.2,22.1,66.7,21,32.6,46.4,25,31.2,43.8,42.1,33.6,24.3,24.3,36.7,39
Quebec,8.7,17.5,73.8,13.8,27.9,58.3,14.8,32.3,52.8,28.6,36.4,35,19.4,36.7,43.9
Ontario,14.2,23,62.9,21.6,29.2,49.2,24.6,34.4,41,40.6,33.2,26.1,29.1,35.9,35
Prairies Region,12.3,22.5,65.2,23.8,30.8,45.4,23.3,29.4,47.3,45.8,26.6,27.6,32.4,34,33.6
Manitoba,13.4,19.8,66.8,22.8,29.6,47.6,21,30.1,48.9,38.1,30.4,31.5,26.1,34.7,39.2
Saskatchewan,9.5,21.1,69.4,22.9,31.8,45.3,27,30.3,42.7,49.7,28.5,21.7,36.8,30.1,33.1
Alberta,12.6,23.7,63.7,24.2,31,44.8,23.1,29,47.9,47.1,25.1,27.9,33.1,34.7,32.1
British Columbia,15.6,26.7,57.7,29.8,31.7,38.4,25.7,34.1,40.3,42.6,31.5,25.8,28.7,37.3,34
