REF_DATE,GEO,Age group,Sex,Indicators,Characteristics,UOM,VALUE
2015,Canada,"Total, 12 years and over",Both sexes,"Perceived health, very good or excellent","Low 95% confidence interval, number of persons",Number,18556100
2015,Canada,"Total, 12 years and over",Both sexes,"Perceived health, very good or excellent","High 95% confidence interval, number of persons",Number,18963600
2015,Canada,"Total, 12 years and over",Both sexes,"Perceived health, fair or poor","Low 95% confidence interval, number of persons",Number,3112900
2015,Canada,"Total, 12 years and over",Both sexes,"Perceived health, fair or poor","High 95% confidence interval, number of persons",Number,3375400
2015,Canada,"Total, 12 years and over",Both sexes,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,21139400
2015,Canada,"Total, 12 years and over",Both sexes,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,21556000
2015,Canada,"Total, 12 years and over",Both sexes,"Perceived mental health, fair or poor","Low 95% confidence interval, number of persons",Number,1631200
2015,Canada,"Total, 12 years and over",Both sexes,"Perceived mental health, fair or poor","High 95% confidence interval, number of persons",Number,1833000
2015,Canada,"Total, 12 years and over",Both sexes,"Perceived life stress, most days quite a bit or extremely stressful","Low 95% confidence interval, number of persons",Number,6289100
2015,Canada,"Total, 12 years and over",Both sexes,"Perceived life stress, most days quite a bit or extremely stressful","High 95% confidence interval, number of persons",Number,6662300
2015,Canada,"Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight","Low 95% confidence interval, number of persons",Number,9225500
2015,Canada,"Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight","High 95% confidence interval, number of persons",Number,9622100
2015,Canada,"Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Low 95% confidence interval, number of persons",Number,6712200
2015,Canada,"Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese","High 95% confidence interval, number of persons",Number,7059000
2015,Canada,"Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Low 95% confidence interval, number of persons",Number,401800
2015,Canada,"Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","High 95% confidence interval, number of persons",Number,472300
2015,Canada,"Total, 12 years and over",Both sexes,Arthritis (15 years and over),"Low 95% confidence interval, number of persons",Number,5813300
2015,Canada,"Total, 12 years and over",Both sexes,Arthritis (15 years and over),"High 95% confidence interval, number of persons",Number,6100800
2015,Canada,"Total, 12 years and over",Both sexes,Diabetes,"Low 95% confidence interval, number of persons",Number,1973100
2015,Canada,"Total, 12 years and over",Both sexes,Diabetes,"High 95% confidence interval, number of persons",Number,2181500
2015,Canada,"Total, 12 years and over",Both sexes,Asthma,"Low 95% confidence interval, number of persons",Number,2461500
2015,Canada,"Total, 12 years and over",Both sexes,Asthma,"High 95% confidence interval, number of persons",Number,2732600
2015,Canada,"Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),"Low 95% confidence interval, number of persons",Number,817600
2015,Canada,"Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),"High 95% confidence interval, number of persons",Number,938100
2015,Canada,"Total, 12 years and over",Both sexes,High blood pressure,"Low 95% confidence interval, number of persons",Number,4958700
2015,Canada,"Total, 12 years and over",Both sexes,High blood pressure,"High 95% confidence interval, number of persons",Number,5236000
2015,Canada,"Total, 12 years and over",Both sexes,Mood disorder,"Low 95% confidence interval, number of persons",Number,2285800
2015,Canada,"Total, 12 years and over",Both sexes,Mood disorder,"High 95% confidence interval, number of persons",Number,2515200
2015,Canada,"Total, 12 years and over",Both sexes,"Current smoker, daily or occasional","Low 95% confidence interval, number of persons",Number,5180500
2015,Canada,"Total, 12 years and over",Both sexes,"Current smoker, daily or occasional","High 95% confidence interval, number of persons",Number,5507700
2015,Canada,"Total, 12 years and over",Both sexes,"Current smoker, daily","Low 95% confidence interval, number of persons",Number,3675000
2015,Canada,"Total, 12 years and over",Both sexes,"Current smoker, daily","High 95% confidence interval, number of persons",Number,3943900
2015,Canada,"Total, 12 years and over",Both sexes,Heavy drinking,"Low 95% confidence interval, number of persons",Number,5613000
2015,Canada,"Total, 12 years and over",Both sexes,Heavy drinking,"High 95% confidence interval, number of persons",Number,5952600
2015,Canada,"Total, 12 years and over",Both sexes,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, number of persons",Number,15477600
2015,Canada,"Total, 12 years and over",Both sexes,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, number of persons",Number,15874200
2015,Canada,"Total, 12 years and over",Both sexes,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Low 95% confidence interval, number of persons",Number,1093300
2015,Canada,"Total, 12 years and over",Both sexes,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","High 95% confidence interval, number of persons",Number,1187900
2015,Canada,"Total, 12 years and over",Both sexes,Breast milk feeding initiation,"Low 95% confidence interval, number of persons",Number,1181200
2015,Canada,"Total, 12 years and over",Both sexes,Breast milk feeding initiation,"High 95% confidence interval, number of persons",Number,1341700
2015,Canada,"Total, 12 years and over",Both sexes,"Exclusive breastfeeding, at least 6 months","Low 95% confidence interval, number of persons",Number,358900
2015,Canada,"Total, 12 years and over",Both sexes,"Exclusive breastfeeding, at least 6 months","High 95% confidence interval, number of persons",Number,456200
2015,Canada,"Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day","Low 95% confidence interval, number of persons",Number,8787300
2015,Canada,"Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day","High 95% confidence interval, number of persons",Number,9171400
2015,Canada,"Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, number of persons",Number,19557700
2015,Canada,"Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, number of persons",Number,19969400
2015,Canada,"Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, number of persons",Number,27189000
2015,Canada,"Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, number of persons",Number,27424500
2015,Canada,"Total, 12 years and over",Both sexes,Has a regular healthcare provider,"Low 95% confidence interval, number of persons",Number,24638500
2015,Canada,"Total, 12 years and over",Both sexes,Has a regular healthcare provider,"High 95% confidence interval, number of persons",Number,24984800
2015,Canada,"Total, 12 years and over",Both sexes,Contact with a medical doctor in the past 12 months,"Low 95% confidence interval, number of persons",Number,21174400
